0.1, 0.03487, 0.0, 0.0299, 0.002397, 0.0297, 0.002381, 0.03125, 0.00125, 0.02997, 0.001199
0.2, 0.06326, 0.00123, 0.05952, 0.007177, 0.05906, 0.00712, 0.0575, 0.00875, 0.05974, 0.00479
0.3, 0.0958, 0.003149, 0.08866, 0.01431, 0.0879, 0.01418, 0.0875, 0.0125, 0.08914, 0.01075
0.4, 0.131, 0.003178, 0.1171, 0.02375, 0.116, 0.0235, 0.1175, 0.02375, 0.118, 0.01904
0.5, 0.162, 0.004266, 0.1448, 0.03543, 0.1433, 0.03502, 0.1438, 0.035, 0.146, 0.0296
0.6, 0.1962, 0.007706, 0.1714, 0.04928, 0.1695, 0.04865, 0.17, 0.05, 0.1732, 0.04238
0.7, 0.2252, 0.009347, 0.1968, 0.06522, 0.1944, 0.06431, 0.1963, 0.065, 0.1992, 0.05728
0.8, 0.2584, 0.01313, 0.2209, 0.08313, 0.218, 0.08188, 0.2188, 0.08375, 0.2239, 0.07421
0.9, 0.2876, 0.01688, 0.2434, 0.1029, 0.2401, 0.1012, 0.2412, 0.1025, 0.2473, 0.09307
1.0, 0.3174, 0.02153, 0.2643, 0.1244, 0.2605, 0.1223, 0.26, 0.1212, 0.269, 0.1137
1.0, 0.3174, 0.02153, 0.3262, 0.04407, 0.2794, 0.1143, 0.26, 0.1212, 0.4221, 0.1705
1.1, 0.3491, 0.03029, 0.3549, 0.05255, 0.3083, 0.1217, 0.29, 0.1287, 0.4511, 0.1779
1.2, 0.3778, 0.04037, 0.3829, 0.06331, 0.3365, 0.1314, 0.3162, 0.14, 0.4795, 0.1877
1.3, 0.4043, 0.05378, 0.41, 0.07626, 0.3638, 0.1433, 0.3462, 0.1512, 0.5069, 0.1997
1.4, 0.4281, 0.0664, 0.4359, 0.09134, 0.39, 0.1573, 0.3725, 0.1663, 0.5334, 0.2139
1.5, 0.4561, 0.08182, 0.4606, 0.1084, 0.415, 0.1733, 0.395, 0.1812, 0.5586, 0.2301
1.6, 0.4769, 0.0954, 0.4838, 0.1275, 0.4386, 0.1913, 0.4212, 0.2, 0.5824, 0.2483
1.7, 0.499, 0.1128, 0.5054, 0.1483, 0.4606, 0.211, 0.4437, 0.2188, 0.6048, 0.2684
1.8, 0.5183, 0.1312, 0.5253, 0.1707, 0.4809, 0.2324, 0.4625, 0.2412, 0.6254, 0.2901
1.9, 0.5397, 0.1535, 0.5433, 0.1947, 0.4994, 0.2553, 0.4812, 0.2637, 0.6442, 0.3135
2.0, 0.555, 0.1767, 0.5593, 0.2201, 0.516, 0.2795, 0.4962, 0.2862, 0.6611, 0.3382
2.0, 0.555, 0.1767, 0.563, 0.2175, 0.5169, 0.2807, 0.4962, 0.2862, 0.6608, 0.3436
2.1, 0.5706, 0.2028, 0.5777, 0.2436, 0.5317, 0.3066, 0.5112, 0.3125, 0.6766, 0.3691
2.2, 0.5832, 0.231, 0.5903, 0.2709, 0.5443, 0.3336, 0.5262, 0.3425, 0.6903, 0.3958
2.3, 0.5926, 0.2558, 0.6007, 0.299, 0.5547, 0.3614, 0.5337, 0.3687, 0.7018, 0.4235
2.4, 0.6014, 0.2839, 0.6088, 0.3279, 0.5629, 0.39, 0.545, 0.3987, 0.711, 0.452
2.5, 0.6075, 0.3158, 0.6146, 0.3573, 0.5687, 0.419, 0.5487, 0.425, 0.7179, 0.4812
2.6, 0.6091, 0.3466, 0.6179, 0.3871, 0.5722, 0.4484, 0.5525, 0.455, 0.7225, 0.5109
2.7, 0.6069, 0.3743, 0.6189, 0.4171, 0.5733, 0.4779, 0.5525, 0.485, 0.7247, 0.5408
2.8, 0.5995, 0.4049, 0.6175, 0.4471, 0.5721, 0.5073, 0.5525, 0.515, 0.7245, 0.5708
2.9, 0.5903, 0.435, 0.6137, 0.4768, 0.5685, 0.5365, 0.5487, 0.545, 0.7219, 0.6006
3.0, 0.5781, 0.4661, 0.6076, 0.5062, 0.5626, 0.5653, 0.545, 0.5713, 0.7169, 0.6302
3.0, 0.5781, 0.4661, 0.5511, 0.5064, 0.5432, 0.5962, 0.545, 0.5713, 0.7742, 0.5711
